Index,Num_c,SMILES,CID,IUPACName,XLogP,Volume3D,MolecularWeight,Charge,EffectiveRotorCount3D,RotatableBondCount,TPSA,Complexity,HeavyAtomCount,FeatureCationCount3D,FeatureHydrophobeCount3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,ConformerCount3D
117,15,CCCCC[N+](C)(CCCC)CCCCC,54255437,butyl-methyl-dipentylazanium,5.1,210.0,228.44,1,11.0,11,0,132,16,1.0,3.0,10.18,4.47,1.21,10
118,15,CCCCC[N+](CC)(CCC)CCCCC,118020676,ethyl-dipentyl-propylazanium,5.1,208.5,228.44,1,11.0,11,0,132,16,1.0,3.0,9.61,3.41,1.58,10
119,15,CCCCC[N+](CC)(CCCC)CCCC,118020723,dibutyl-ethyl-pentylazanium,4.9,208.3,228.44,1,11.0,11,0,134,16,1.0,3.0,7.37,4.04,1.88,10
120,15,CCCCC[N+](CCC)(CCC)CCCC,87492071,butyl-pentyl-dipropylazanium,5.1,208.3,228.44,1,11.0,11,0,136,16,1.0,4.0,6.63,3.95,2.21,10
121,15,CCCC[N+](CCC)(CCCC)CCCC,5248503,tributyl(propyl)azanium,4.9,207.9,228.44,1,11.0,11,0,121,16,1.0,4.0,6.56,4.85,0.98,7
122,16,CCCCCCCCCCCCC[N+](C)(C)C,11484094,trimethyl(tridecyl)azanium,6.4,225.8,242.46,1,12.0,12,0,146,17,1.0,1.0,32.93,0.94,0.8,10
123,16,CCCCCCCCCCCC[N+](C)(C)CC,62471,dodecyl-ethyl-dimethylazanium,6.2,224.6,242.46,1,12.0,12,0,152,17,1.0,1.0,30.3,1.1,0.82,10
124,16,CCCCCCCCCCC[N+](C)(C)CCC,54067909,dimethyl-propyl-undecylazanium,6.2,224.3,242.46,1,12.0,12,0,152,17,1.0,2.0,27.77,1.4,0.81,10
126,16,CCCCCCCCCC[N+](C)(C)CCCC,57255541,butyl-decyl-dimethylazanium,6.0,224.6,242.46,1,12.0,12,0,152,17,1.0,2.0,25.46,1.85,0.82,10
128,16,CCCCCCCCCC[N+](CC)(CC)CC,9835339,decyl(triethyl)azanium,5.9,221.7,242.46,1,12.0,12,0,141,17,1.0,1.0,22.36,1.35,1.26,10
